City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
431,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
434,Ponca City,US,80.62,clear sky,36.707,-97.0856,"Holiday Inn Express & Suites Ponca City, an IHG Hotel"
437,Kushmurun,KZ,75.76,overcast clouds,52.4503,64.6311,Gostinitsa Pri Depo
442,Ximei,CN,88.38,few clouds,24.9639,118.3794,Nan'an Hotel
443,Waingapu,ID,86.13,clear sky,-9.6567,120.2641,Pondok Wisata Elim
444,Abonnema,NG,75.04,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
448,Leiyang,CN,81.3,few clouds,26.4024,112.8591,Dongyang Hotel
451,Salinopolis,BR,78.98,clear sky,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
453,Gotsu,JP,79.14,light rain,35.0,132.2167,Yurusato
457,Kawalu,ID,75.69,overcast clouds,-7.3817,108.2082,West Jontor
458,Meiktila,MM,84.09,broken clouds,20.8667,95.8667,The Floral Breeze Wunzin Hotel
460,Carutapera,BR,77.0,clear sky,-1.195,-46.02,Lidera
465,Kieta,PG,84.38,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
468,Gadsden,US,80.56,clear sky,34.0143,-86.0066,Hampton Inn Gadsden
469,Mecca,SA,87.03,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
470,Barahona,DO,80.19,clear sky,18.2085,-71.1008,Hotel Caribe
471,Pacifica,US,77.05,mist,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
472,Bontang,ID,81.77,light rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
475,Kendari,ID,82.0,scattered clouds,-3.945,122.4989,Hotel Wixel
481,Medicine Hat,CA,80.22,clear sky,50.0501,-110.6683,Ramada Limited Medicine Hat
488,Dalbandin,PK,83.12,clear sky,28.8947,64.4101,Sanjrani House
489,Vancouver,CA,76.96,scattered clouds,49.2497,-123.1193,City Centre Motor Hotel
