City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
155,San Quintin,MX,2022-08-29 21:39:13,30.4833,-115.95,74.19,72,4,15.43
156,Sanghar,PK,2022-08-29 21:39:13,26.0466,68.9481,80.8,76,97,6.55
157,Roma,US,2022-08-29 21:39:14,43.2128,-75.4557,90.63,51,0,12.66
158,Brae,GB,2022-08-29 21:35:43,60.3964,-1.353,52.72,68,100,10.25
159,Divnogorsk,RU,2022-08-29 21:39:14,55.9594,92.3619,32.49,95,20,0.81
160,Vranov,CZ,2022-08-29 21:39:14,48.8947,15.8127,64.65,76,16,4.92
161,Ribeira Grande,PT,2022-08-29 21:39:15,38.5167,-28.7,75.33,85,60,3.78
162,Nenjiang,CN,2022-08-29 21:39:15,49.1833,125.2167,53.56,93,82,10.13
163,Sandnessjoen,NO,2022-08-29 21:39:15,66.0217,12.6316,48.72,98,75,6.91
164,Caraquet,CA,2022-08-29 21:39:16,47.7941,-64.9386,73.94,69,82,3.58
165,Sivas,TR,2022-08-29 21:39:16,39.7916,37.0019,61.43,77,0,8.05
166,Lavrentiya,RU,2022-08-29 21:39:16,65.5833,-171.0,46.22,83,100,5.57
167,Zeya,RU,2022-08-29 21:39:17,53.75,127.2667,53.22,98,69,3.87
168,Gamba,GA,2022-08-29 21:39:17,-2.65,10.0,73.87,84,100,6.31
169,Zabol,AF,2022-08-29 21:39:17,32.25,67.25,69.6,31,0,6.22
170,Torzhok,RU,2022-08-29 21:39:18,57.0436,34.9622,59.61,68,49,3.83
171,Provideniya,RU,2022-08-29 21:39:18,64.3833,-173.3,48.36,100,100,2.24
172,Polson,US,2022-08-29 21:39:18,47.6936,-114.1632,81.21,33,0,2.42
173,Port Lincoln,AU,2022-08-29 21:39:19,-34.7333,135.8667,51.87,64,81,13.18
174,Port Hawkesbury,CA,2022-08-29 21:39:19,45.6169,-61.3485,75.15,81,20,9.22
175,Astoria,US,2022-08-29 21:39:19,46.1879,-123.8313,83.46,53,0,10.36
176,Ifakara,TZ,2022-08-29 21:39:20,-8.1333,36.6833,71.73,50,0,6.8
177,Verkhnedneprovskiy,RU,2022-08-29 21:39:20,54.9813,33.3457,60.82,74,57,5.01
178,Aklavik,CA,2022-08-29 21:39:20,68.2191,-135.0107,51.98,63,82,3.09
179,Hamilton,US,2022-08-29 21:39:21,39.1834,-84.5333,82.49,85,75,19.57
180,Camacha,PT,2022-08-29 21:39:21,33.0833,-16.3333,67.42,68,20,3.44
181,Zhangjiakou,CN,2022-08-29 21:40:21,40.81,114.8794,57.9,73,0,3.44
182,Antofagasta,CL,2022-08-29 21:38:04,-23.65,-70.4,58.28,77,24,6.93
183,Aripuana,BR,2022-08-29 21:40:22,-9.1667,-60.6333,84.65,32,98,2.39
184,Norman Wells,CA,2022-08-29 21:40:22,65.282,-126.8329,59.04,82,75,3.44
185,Arrifes,PT,2022-08-29 21:40:22,37.7667,-25.7,72.23,78,20,4.61
186,Radyvyliv,UA,2022-08-29 21:40:23,50.1299,25.2558,60.28,86,18,6.46
187,Tsagan Aman,RU,2022-08-29 21:40:23,47.5639,46.7218,74.25,26,66,8.63
188,Katete,UG,2022-08-29 21:40:23,-0.7818,29.7544,62.26,93,84,2.64
189,Lasa,IT,2022-08-29 21:40:24,46.6166,10.7002,67.08,82,48,0.89
190,Sinnamary,GF,2022-08-29 21:40:24,5.3833,-52.95,79.86,82,92,7.49
191,Severo-Kurilsk,RU,2022-08-29 21:39:27,50.6789,156.125,53.64,92,100,11.77
192,Liverpool,GB,2022-08-29 21:40:08,53.4106,-2.9779,63.7,73,75,12.66
193,Tilichiki,RU,2022-08-29 21:40:25,60.4667,166.1,50.43,95,100,14.18
194,Althofen,AT,2022-08-29 21:40:25,46.8818,14.4676,66.45,96,66,3.15
195,Vieira De Leiria,PT,2022-08-29 21:40:25,39.8695,-8.9324,66.31,94,75,3.44
196,Anisoc,GQ,2022-08-29 21:40:25,1.8658,10.7689,68.77,99,46,1.81
197,Skibbereen,IE,2022-08-29 21:40:26,51.55,-9.2667,64.11,83,54,10.94
198,Koungheul,SN,2022-08-29 21:40:26,13.9833,-14.8,75.78,86,100,14.79
199,Fairbanks,US,2022-08-29 21:40:26,64.8378,-147.7164,63.25,72,20,3.0
200,Vardo,NO,2022-08-29 21:40:27,70.3705,31.1107,44.58,76,100,18.41
201,Carutapera,BR,2022-08-29 21:40:27,-1.195,-46.02,78.46,80,59,9.24
202,Tyret Pervaya,RU,2022-08-29 21:40:27,53.6703,102.3106,42.76,79,100,10.96
203,Myaundzha,RU,2022-08-29 21:40:28,63.0494,147.1858,48.47,71,23,5.66
204,Chuy,UY,2022-08-29 21:35:41,-33.6971,-53.4616,44.89,74,1,6.24
205,Escanaba,US,2022-08-29 21:40:28,45.7453,-87.0646,84.94,46,20,16.11
206,Tsogni,GA,2022-08-29 21:40:28,-2.7942,10.0988,72.64,86,91,5.73
207,Denpasar,ID,2022-08-29 21:36:54,-8.65,115.2167,76.71,100,75,9.22
208,Lakefield,US,2022-08-29 21:40:29,43.6775,-95.1717,79.09,38,0,19.57
209,Barentu,ER,2022-08-29 21:40:29,15.1139,37.5928,75.18,64,81,4.21
210,Taoudenni,ML,2022-08-29 21:40:29,22.6783,-3.9836,99.41,28,44,8.01
211,Muscat,OM,2022-08-29 21:36:06,23.6139,58.5922,86.02,58,5,5.99
212,Ruteng,ID,2022-08-29 21:40:30,-8.6136,120.4721,59.86,88,17,2.24
213,Terney,RU,2022-08-29 21:40:30,45.0503,136.6092,61.32,78,75,4.81
214,Muli,MV,2022-08-29 21:40:30,2.9167,73.5667,79.27,82,93,17.65
215,Boa Vista,BR,2022-08-29 21:40:30,2.8197,-60.6733,80.58,78,75,2.3
216,Chicama,PE,2022-08-29 21:40:31,-7.8447,-79.1469,59.54,66,47,8.52
217,Goure,NE,2022-08-29 21:40:31,13.9835,10.2704,81.01,54,6,6.76
218,Conde,BR,2022-08-29 21:40:31,-7.2597,-34.9075,76.46,78,0,9.22
219,Smithers,CA,2022-08-29 21:40:32,54.7804,-127.1743,61.12,94,100,8.05
220,Mnogovershinnyy,RU,2022-08-29 21:40:32,53.9353,139.9242,55.69,76,5,7.43
221,Mubi,NG,2022-08-29 21:40:32,10.2676,13.2644,70.21,90,35,2.06
222,Kropotkin,RU,2022-08-29 21:40:32,45.4375,40.5756,74.68,61,5,4.63
223,Mayumba,GA,2022-08-29 21:40:33,-3.432,10.6554,73.06,88,50,7.36
224,Salinopolis,BR,2022-08-29 21:37:21,-0.6136,-47.3561,79.66,79,56,12.19
225,Tooele,US,2022-08-29 21:40:33,40.5308,-112.2983,93.69,18,0,8.77
226,San Patricio,US,2022-08-29 21:40:33,28.017,-97.5169,87.19,57,89,16.98
227,Moose Factory,CA,2022-08-29 21:40:34,51.2585,-80.6094,80.6,65,0,11.5
228,Murgab,TM,2022-08-29 21:41:34,37.4966,61.9714,73.27,38,0,0.0
